date,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TOTAL_CCASS_PCT
2024-10-15,28.283028127955507,9.182351841573745,7.399452548848787,3.8661959405758552,4.398166213556694,3.581923082333634,2.7178835392876786,1.5916850196971348,1.9887480029840636,1.8283638080339053,64.837798124847
2024-10-16,28.283028127955507,9.157449452842092,7.366623033157542,3.85234348639394,4.315692064381126,3.5263531216269883,2.699306837725803,1.6028950982258527,1.9879472830891551,1.8257214323807076,64.61735993777872
2024-10-17,28.283028127955507,9.179469249952074,7.403215932354856,3.8627528450277495,4.2406646102282055,3.5503747184742416,2.7190045471405506,1.6065784097424318,1.988107427068137,1.8257214323807076,64.65891730032446
2024-10-18,28.283028127955507,9.256738719810738,7.329069270086336,3.8667564445022915,4.222007836676839,3.554538461927766,2.719244763109023,1.6137848887966075,1.992671530469115,1.8257214323807076,64.66356147571494
2024-10-21,28.283028127955507,9.28164110854239,7.344843452016033,3.8627528450277495,4.233538203163521,3.59577553651555,2.726451242163199,1.6109823691644278,1.9924313145006423,1.8257214323807076,64.75716563142973
2024-10-22,28.283028127955507,9.294692842829397,7.319300487368453,3.85234348639394,4.253556200536232,3.565668468466993,2.721967210751712,1.5908842998022266,1.9803404440875254,1.8277232321179788,64.68950480030996
2024-10-23,28.283028127955507,9.286645607885568,7.304967601249593,3.8440159994868925,4.2036233078897425,3.5908110731671177,2.7272519620581073,1.5699054385556257,1.99411282627995,1.8437376300161474,64.64809957454425
2024-10-24,28.283028127955507,9.311387852638237,7.2968803303110175,3.8412134798547126,4.241257142950438,3.59585560850504,2.715000947666008,1.5685442147342812,2.045038611596126,1.8397340305416052,64.73794034675298
2024-10-25,28.283028127955507,9.312188572533147,7.33051056589717,3.8612314772274234,4.161825729375522,3.5833643781444686,2.7129190759392463,1.5670228469339555,2.007084488577467,1.8797700252870266,64.69894528787094
2024-10-28,28.283028127955507,9.3038610856261,7.332031933697497,3.8612314772274234,4.185446966275321,3.5929730168833696,2.7214067068252756,1.5827970288636515,1.9894686508894814,1.8797700252870266,64.73201501953065
2024-10-29,28.283028127955507,9.308144937063858,7.345644171910941,3.8521032704254674,4.142288163939757,3.5830440901865055,2.738622184565807,1.5985712107933474,1.9833031076986862,1.859752027914316,64.69450129245419
2024-10-30,28.283028127955507,9.288607371628094,7.355412954628823,3.8521032704254674,4.141807732002811,3.589449849345773,2.7239690104889824,1.5957686911611677,1.9833031076986862,1.859752027914316,64.67320214324963
2024-10-31,28.283028127955507,9.287166075817257,7.350448491280391,3.8521032704254674,4.118266567092504,3.5886491294508645,2.722367570699166,1.5882419241490289,1.971692669222514,1.859752027914316,64.62171585400702
2024-11-01,28.283028127955507,9.280359956710535,7.340599636573017,3.860110469374552,4.106656128616332,3.587448049608502,2.7140400837921184,1.5985712107933474,1.9689702215798255,1.8577502281770446,64.59753411318079
