date,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,MINERVA HOLDING FINANCIAL SECURITIES LTD
2024-12-09,61.6262533070493,15.397869517873112,6.08415425568749,4.596378960559138,4.179076133876794,2.4100750207668638,2.626286267924744,1.9005724608559365,1.1793340754066208
2024-12-10,61.6262533070493,15.397869517873112,6.075082455107439,4.596378960559138,4.179076133876794,2.4085630540035217,2.636870035268137,1.9005724608559365,1.1793340754066208
2024-12-17,61.632776376708286,15.399499365057956,6.075725495758332,4.583256340876931,4.1795184843892565,2.4088179976961235,2.640173398604791,1.9007736343151167,1.1794589065932055
2024-12-30,61.631844425069346,15.399266508621562,6.075633624473826,4.583187037277294,4.179455285725648,2.408781573864312,2.6401334764388498,1.9022569965805283,1.1794410719486272
2025-01-08,61.622526458574164,15.39693833151253,6.0747150644164725,4.567375363265844,4.178823404192914,2.408417396121314,2.6427580718267776,1.929183154927005,1.1792627551629786
2025-01-13,61.641165209937476,15.401595389926232,6.076552462364846,4.543047186894973,4.180087358381393,2.4091458617588852,2.645069750292712,1.9237173377743486,1.179619442669134
2025-01-15,61.64862386791987,15.40345900220555,6.077287732802622,4.528471745149589,4.180593154172834,2.4094373714172663,2.648414838262168,1.9239501099750103,1.1797621780950835
2025-01-16,61.633708356532225,15.399732228536623,6.075817369821303,4.5273761088215485,4.200751780329413,2.4088544226295014,2.6507983696607127,1.9234846218915118,1.1794767417771568
2025-01-17,61.633708356532225,15.399732228536623,6.074305220152358,4.512254612132098,4.200751780329413,2.4088544226295014,2.6553348186675483,1.9355818192430725,1.1794767417771568
2025-01-22,61.632776376708286,15.399499365057956,6.074213368955009,4.5121863811206735,4.200688259635801,2.4088179976961235,2.6568067934413615,1.9355525507915834,1.1794589065932055
2025-02-05,61.63650446512688,15.400430861229475,6.073068572142339,4.482214952148878,4.200942353937106,2.408963704039528,2.6584797185822286,1.959865122228066,1.179530250565494
2025-02-07,61.635572400740244,15.400197976622062,6.072976735478615,4.482147172300452,4.200878827479978,2.4089272758011537,2.6660004941854574,1.953786703628755,1.1795124137632766
2025-02-10,61.634640364542456,15.399965099057885,6.072884901592348,4.482079394501922,4.200815302944109,2.4088908486644947,2.667472352193452,1.953757159002825,1.1794945775005057
2025-02-11,61.633708356532225,15.399732228536623,6.069768771145522,4.482011618753196,4.200751780329413,2.4088544226295014,2.6689441656880537,1.9567519146083032,1.1794767417771568
2025-02-18,61.633708356532225,15.399732228536623,6.054647274456072,4.482011618753196,4.200751780329413,2.4088544226295014,2.670456315356999,1.9703612616288089,1.1794767417771568
2025-02-19,61.632776376708286,15.399499365057956,6.054555720511788,4.451701308987689,4.200688259635801,2.4178907585160716,2.6749523150812573,1.988476988907945,1.1794589065932055
2025-02-20,61.583421747096246,15.387167670267383,6.049707320478259,4.508573087988792,4.197324409662489,2.41595454681437,2.6758320840576917,2.0035047205545906,1.1785144130801803
2025-02-21,61.583421747096246,15.387167670267383,6.1056112093038575,4.493463928846738,4.197324409662489,2.4189763786427805,2.6758320840576917,1.9596881590426354,1.1785144130801803
2025-02-24,61.39788765598022,15.34081032136467,6.087216664241421,4.479926344828999,4.184679013428029,2.712961448230339,2.669276894094481,1.9522777879708404,1.1749638698610019
2025-02-26,61.39788765598022,15.34081032136467,6.087216664241421,4.479926344828999,4.184679013428029,2.712961448230339,2.6677705301587618,1.9537841519065595,1.1749638698610019
2025-02-27,61.40251238249099,15.341965850567686,6.087675176958368,4.480263790218804,4.184994219646213,2.7131657989858997,2.6679714769594827,1.9463989314857089,1.1750523726868416
2025-02-28,60.95166486169943,15.229317572843962,6.042976464244153,4.447367484449916,4.154265928648913,3.427493703550507,2.6483819149162073,1.9321075108470007,1.1664245587999107
2025-03-04,60.97354825989252,15.234785335232596,6.037666301354944,4.410069439146278,4.155757429426173,3.4302202252246996,2.6508287130824977,1.9402809579245266,1.1668433387157722
2025-03-05,60.965340144387895,15.232734464301046,6.036853524933132,4.340671191614458,4.247934591380103,3.4297584570544286,2.6519676163791983,1.9280537489368945,1.1666862610128452
2025-03-07,61.007315968472994,15.24322249866113,6.0380164532206395,4.343659828271268,4.250859377081461,3.4336166940228425,2.6567871106759138,1.8590325223671538,1.1674895472265987
2025-03-10,61.00457665287394,15.242538056205213,6.037745337660234,4.3314910776372635,4.250668507425648,3.434959233993614,2.6596612456673863,1.87092276325782,1.1674371252788753
2025-03-11,60.99179643204201,15.239344803943075,6.03648045356504,4.330583647153502,4.24977800895506,3.455189233337055,2.6591040570116697,1.8705308122373254,1.167192551755263
2025-03-12,60.994534599983666,15.240028959646546,6.03675145553949,4.31282044989212,4.249968798644559,3.4448690755210474,2.6652093064739297,1.8885724025582418,1.167244951740407
2025-03-13,60.983583403081155,15.237292705340625,6.035667593611948,4.312046109268625,4.249205742651941,3.441258171866009,2.664730784388418,1.9091801097671586,1.1670353800241249
2025-03-14,60.998185873036256,15.240941262813152,6.037112829358627,4.3115820677695105,4.25022321154648,3.4196338163322912,2.665368852029676,1.9096372614075843,1.1673148257064276
2025-03-17,61.0100555300925,15.243907002587454,6.038287593130183,4.289968329675534,4.2510502638794545,3.4202992440016033,2.668881204400376,1.9100088583505148,1.1675419738823853
2025-03-18,61.04020695474078,15.251440605193455,6.04127174011689,4.292088449969015,4.253151150702025,3.421989570195115,2.676190530388915,1.8555420206840922,1.168118978009711
2025-03-19,61.04020695474078,15.251440605193455,6.04127174011689,4.277112565635557,4.253151150702025,3.421989570195115,2.676190530388915,1.8705179050175502,1.168118978009711
2025-03-20,61.08045524338222,15.26149699940147,6.043756618085833,4.279932779879281,4.255955565426175,3.4257445149874077,2.6809522910378267,1.8028167832109148,1.1688892045888792
2025-03-27,61.05117849939232,15.254181943566117,6.039361900673466,4.277881346310372,4.253915624482303,3.473531807455796,2.6826629871295085,1.7989569518717379,1.1683289391183789
2025-04-02,61.0612392140225,15.256695702927086,6.038859031667231,4.278586304748601,4.25461663357354,3.4741042159355766,2.6846031716069656,1.7827742557342194,1.1685214697842818
2025-04-03,61.08137059408335,15.26172570794536,6.039351394640593,4.232041771331274,4.256019345106521,3.4752495990500085,2.6929812546325422,1.792353611667008,1.1689067215433404
2025-04-07,61.0896099851289,15.263784393350003,6.0401660551060985,4.232612640104125,4.256593448263355,3.522181198386931,2.696342117403442,1.729645764494675,1.1690643977624708
2025-04-10,61.0896099851289,15.263784393350003,6.038667254596146,4.232612640104125,4.256593448263355,3.522181198386931,2.697840917913394,1.729645764494675,1.1690643977624708
2025-04-14,61.10059929825529,15.266530171334722,6.041252611005393,4.2183833368161725,4.167414952504961,3.479341764303603,2.6983262282406226,1.8588769386349648,1.1692746989042697
2025-04-15,61.096019937337566,15.265385977130103,6.040799831876896,4.218067177891212,4.167102613552797,3.4790809949841877,2.7011219099360213,1.8632344930569775,1.169187064234238
2025-04-17,61.09693575460614,15.26561480225003,6.04089038227294,4.233120208322278,4.16716507759771,3.480632125964706,2.7056593399510316,1.84077771891782,1.1692045901173431
2025-04-23,61.09693575460614,15.26561480225003,6.04089038227294,4.219629386128617,4.16716507759771,3.480632125964706,2.7086573004385115,1.8512705806240017,1.1692045901173431
2025-04-24,61.0996833711543,15.266301318772186,6.0411620497497935,4.204828672344459,4.16735248096884,3.4897829408976477,2.7102781602847714,1.8513538349086824,1.169257170919315
2025-04-28,61.0996833711543,15.266301318772186,6.0411620497497935,4.222817244204757,4.16735248096884,3.4897829408976477,2.7102781602847714,1.8333652630483854,1.169257170919315
2025-05-02,61.0886943874659,15.263555623100485,6.0400755264233075,4.2520333172364575,4.166602968599701,3.4921528477832022,2.711289485682323,1.816548967626694,1.1690468760819304
