date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOYO SECURITIES ASIA LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2025-03-05,0.0,0.0,0.0,0.0,60.145351000000005,0.0,0.0,0.0,0.0,0.0
2025-03-07,247.05701100000002,0.0,0.0,0.0,60.15435099999999,0.0,0.0,0.0,0.0,0.0
2025-03-10,247.054011,107.2755,63.861000000000004,56.711597000000005,59.923351000000004,0.0,0.0,0.0,0.0,0.0
2025-03-11,0.0,107.2635,0.0,56.717597,59.935351000000004,0.0,0.0,0.0,0.0,0.0
2025-03-12,0.0,107.87100000000001,63.588,0.0,58.660351,0.0,0.0,0.0,0.0,0.0
2025-03-14,0.0,0.0,63.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,0.0,107.87549999999999,0.0,56.446096999999995,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,247.03451099999998,107.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,246.88301099999998,107.8605,62.172000000000004,56.146097,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,246.896511,107.80499999999999,61.893,56.471596999999996,58.529851,0.0,0.0,0.0,0.0,0.0
2025-03-21,0.0,0.0,0.0,0.0,58.229851,0.0,0.0,0.0,0.0,0.0
2025-03-24,246.893511,0.0,0.0,56.443096999999995,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,246.892011,0.0,0.0,56.743097,57.929851,0.0,0.0,0.0,0.0,0.0
2025-03-26,246.82901099999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,246.72101099999998,0.0,0.0,0.0,57.817350999999995,0.0,0.0,0.0,0.0,0.0
2025-03-28,246.71201100000002,107.775,0.0,0.0,57.682351,0.0,0.0,0.0,0.0,0.0
2025-03-31,246.694011,107.769,0.0,56.750597,57.562351,0.0,0.0,0.0,0.0,0.0
