date,ORIENT SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,I WIN SECURITIES LTD,LIVERMORE HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-09-13,4.410596420651423,2.23904159554034,1.277574229814445,1.5559936766502935,0.87703586505899,0.3497041740425087,0.28922901612538315,0.23781052436975947,0.017529031280326252,0.0961175215204556,11.350632055053925
2024-09-16,4.410596420651423,2.23904159554034,1.277574229814445,1.5340823875498857,0.8773280155803288,0.3497041740425087,0.28922901612538315,0.23956342749779208,0.017529031280326252,0.09465676891376176,11.329305066996195
2024-09-17,4.410596420651423,2.23904159554034,1.277574229814445,1.5340823875498857,0.8773280155803288,0.3497041740425087,0.28922901612538315,0.20508966597981715,0.017529031280326252,0.0931960163070679,11.293370552871526
2024-09-19,4.410596420651423,2.23904159554034,1.277574229814445,1.5340823875498857,0.8773280155803288,0.3497041740425087,0.28922901612538315,0.20362891337312328,0.017529031280326252,0.0931960163070679,11.291909800264833
2024-09-20,4.410596420651423,2.23904159554034,1.2968561642228038,1.5507349672661959,0.8790809187083615,0.3497041740425087,0.28922901612538315,0.20333676285178454,0.017529031280326252,0.0931960163070679,11.329305066996195
2024-09-23,4.410596420651423,2.23904159554034,1.277574229814445,1.5410940000620164,0.8825867249644268,0.3497041740425087,0.28922901612538315,0.20158385972375187,0.017529031280326252,0.09845472569116578,11.307393777895786
2024-09-24,4.410596420651423,2.23904159554034,1.277574229814445,1.5340823875498857,0.8825867249644268,0.3497041740425087,0.28922901612538315,0.19690945138233157,0.016360429194971167,0.0952410699564393,11.291325499222154
2024-09-25,4.410596420651423,2.23904159554034,1.277574229814445,1.5340823875498857,0.880833821836394,0.3497041740425087,0.28922901612538315,0.19398794616894385,0.029507202655215854,0.09261171526439037,11.29716850964893
2024-09-26,4.410596420651423,2.23904159554034,1.2831250897198816,1.5340823875498857,0.875867262973635,0.3497041740425087,0.28922901612538315,0.1904821399128786,0.029507202655215854,0.08969021005100265,11.291325499222154
2024-09-27,4.410596420651423,2.23904159554034,1.2880916485826406,1.5340823875498857,0.8755751124522962,0.3497041740425087,0.28922901612538315,0.18668418313547458,0.029507202655215854,0.04762053497821965,11.250132275713389
